HIST,Hours,DI,DII,HIST >300,HIST > 400,HIST_MA_1,HIST_MA_2,HIST_MA_3,HIST_MA_4,HIST_MA_5,AS_MI_C_1,AS_MI_C_2,AS_MI_C_3,ENVI_MA_S_2,HISP_MA_C_3,ASIA_MA_C_1,ASIA_MA_C_2,GLHT_MI_2,JWST_MI_C,PJHC_MI_C_1,PJHC_MI_C_2,PJHC_MI_C_3,POST_MA_S_4,POST_MA_S_5
HIST 241,3,1,,,,,,,,,,,,,,,,,,,,,,
HIST 242,,1,,,,,,1,,,,,,,,,,,,,,,,
HIST 246,3,1,,,,,,,,,,,,,,,,,,,1,,,
HIST 248,,,,,,,,,1,,,,,,,,,,,,,,,
HIST 251,3,1,,,,,,,1,,,,,,,,,,,1,,,,
HIST 252,,,,,,,,1,,,,,,,,,,,,,,,,
HIST 253,,,,,,,,1,,,,,,,,,,,,,,,,
HIST 255,3,,,,,,,,,,,,,,,,,,,,,,,
HIST 256,3,1,,,,,1,,,,,,,,,,,,,,,,,
HIST 257,,,,,,1,,,,,,,,,,,,,,,,,,
HIST 262,,,,,,1,,,,,,,,,,,,,,,,,,
HIST 265,3,1,,,,,,1,,,,,,,,,,,,,,,,
HIST 266,3,1,,,,,,1,1,,,,,,,,,,,,1,,,
HIST 268,3,,,,,,1,1,1,,,,,,,,1,,,1,1,,,
HIST 270,3,,,,,,,,1,,,,1,,,,1,,,,,,,
HIST 271,3,1,,,,1,,,1,,,,,,,,1,,,1,,,,
HIST 274,,,,,,,1,,1,,,,,,,,,,,,,,,
HIST 275,,,,,,1,,,1,,,,,,,,,,,,,,,
HIST 278,,,,,,,,,,,,,,,,,1,,,,,,,
HIST 279,3,,,,,,,,1,,,,,,,,,,,,,,,
HIST 281,3,1,,,,1,,,1,,,,,,,,1,,,,,,,
HIST 282,,,,,,,1,,1,,,,,,,,,,,,,,,
HIST 283,,,,,,,,,1,,,,,,,,1,,,,,,,
HIST 287,3,,,,,,1,1,1,,,,,,,,,,,,,,,
HIST 291,3,,,,,,,1,,,,,,,,,,,,,,,,
HIST 295,3,1,,,,,,1,,,,,,,,,,,,,1,,,
HIST 296,,1,,,,,,,1,,,,,,,,,,,,,,,
HIST 300,3,,,1,,,,,,,,,,,,,,,,,,,,
HIST 302,,1,,1,,1,,,1,,,,,,,,1,,,,,,,
HIST 303,,,,1,,1,,,,,,,,,,,,,,,,,,
HIST 304,3,,,1,,1,,,,,,,,,,,,,,,,,,
HIST 305,3,,,1,,,,,,,,,,,,,,,,,,,,
HIST 306,3,,,1,,1,,,,,,,,,,,,,,,,,,
HIST 307,3,,,1,,1,,,,,,,,,,,,,,,,,,
HIST 308,3,,,1,,1,,,,,,,,,,,,,,,,,,
HIST 310,3,,,1,,,,,1,,,,,,,,1,,,,,,,
HIST 312,3,,,1,,,,,,,,,,,,,,,,,,,,
HIST 313,3,1,,1,,,,,1,,,,,,,,,,,1,,,,
HIST 314,3,,,1,,,,1,1,,,,,,,,,,,,,,,
HIST 315,3,1,,1,,,,1,1,,,,,,,,,,,1,,,,
HIST 316,3,1,,1,,1,,,,,,,,,,,,,,,,,,
HIST 318,3,,,1,,,,,,,,,,,,,,,,,,,,
HIST 319,3,,,1,,1,,,1,,,,,,,,1,,,,,,,
HIST 320,3,,,1,,1,1,,1,,,,,,,,1,,,,,,,
HIST 321,3,,,1,,,,,,,,,,,,,,,,,,,,
HIST 322,3,,,1,,,,,1,,,,,,,,1,,,,,,,
HIST 323,,,,1,,1,,,,,,,,,,,,,,,,,,
HIST 324,3,,,1,,1,1,,,,,,,,,,,,,,,,,
HIST 327,3,,,1,,1,1,,,,,,,,,,,,,,,,,
HIST 328,3,,,1,,,,,,,,,,,,,,1,,,,,,
HIST 329,3,,,1,,,1,,1,,,,,,,,,,,,,,,
HIST 330,3,,,1,,,,1,1,,,,,,,,,,,,,,,
HIST 333,3,,,1,,,,,,,,,,,,,,,,,,,,
HIST 335,3,,,1,,,,,1,,,,,,,,,,,1,1,,,
HIST 336,3,,,1,,,,,1,,,,,,,,,,,,,,,
HIST 337,3,,,1,,,,,1,,,,,,,,,,,,,,,
HIST 339,,,,1,,,,1,,,,,,,,,,,,,,,,
HIST 340,3,,,1,,,1,,,,,,,,,,,,,1,,1,,
HIST 341,3,,,1,,1,,,1,,,,,,,,1,,,,,,,
HIST 342,3,,,1,,,,,1,,,,,,,,1,,,1,,,,
HIST 343,,,,1,,,,,1,,,,,,,,1,,,,,,,
HIST 344,3,,,1,,,1,,,,,,,,,,,,,,,,,
HIST 345,3,,,1,,1,1,,,,,,,,,,,,,,,,,
HIST 348,3,,,1,,,1,,1,,,,,,,,,,,,,,,
HIST 350,3,1,,1,,,,1,,,,,,,,,,,,,,,,
HIST 351,3,1,,1,,,,1,,,,,,,,,,,,,,,,
HIST 352,3,,,1,,,1,1,1,,,,,,,,,,,,,,,
HIST 353,,,,1,,,1,1,,,,,,,,,,,,,,,,
HIST 354,3,1,,1,,,1,,,,,,,,,,,,,,,,,
HIST 355,3,1,,1,,,1,,,,,,,,,,,,,,,,,
HIST 356,3,,,1,,,1,,,,,,,,,,,,,,,,,
HIST 357,3,1,,1,,,,,,,,,,,,,,,,,,,,
HIST 358,,,,1,,1,1,,,,,,,,,,,,,,,,,
HIST 359,,,,1,,,,,1,,,,,,,,,,,,,,,
HIST 360,3,,,1,,,1,,,,,,,,,,1,,,,,,,
HIST 361,3,1,,1,,1,1,,,,,,,,,,,,,,,,,
HIST 362,3,1,,1,,,1,,,,,,,,,,,,,,,,,
HIST 364,3,,,1,,1,,,1,,,,,,,,1,,,,,,,
HIST 365,3,1,,1,,,1,,1,,,,,,,,,,,,,,,
HIST 366,3,1,,1,,,,,1,,,,,,,,,,,,,,,
HIST 367,,,,1,,,,,1,,,,,,,,1,,,,,,,
HIST 368,,,,,,,,,,,,,,,,,1,,,,,,,
HIST 374,,1,,,,,,,,,,,,,,,,,,,,,,
HIST 377,,,,1,,,,1,,,,,,,,,,,,,,,,
HIST 368,3,,,1,,1,,,,,,,,,,,,,,,,,,
HIST 370,3,,,1,,,1,,,,,,,,,,,,,,,,,
HIST 371,3,,,1,,,1,,,,,,,,,,,,,,,,,
HIST 372,3,,,1,,,,,,,,,,,,,,,,,,,,
HIST 373,3,,,1,,,,,,,,,,,,,,,,,,,,
HIST 374,3,,,1,,,1,,1,,,,,,,,,,1,,1,,,
HIST 375,3,,,1,,,1,,,,,,,,,,,,,,,,,
HIST 376,3,,,1,,,,,1,,,,,1,,,,,,1,,,,
HIST 377,3,,,1,,,,,1,,,,,,,,1,,,,,,,
HIST 378,3,,,1,,,,,1,,,,,,,,1,,,1,,,,
HIST 379,3,,,1,,,,,1,,,,,,,,,,,1,,,,
HIST 380,3,,,1,,,,1,,,,,,,,,1,,,,,,,
HIST 381,3,1,,1,,1,,,,,,,,,,,,,,,,,,
HIST 382,3,,,1,,1,,,,,,,,,,,1,,,,,,,
HIST 383,3,,,1,,1,,,,,,,,,,,1,,,,,,,
HIST 384,,,,1,,,,,1,,,,,,,,1,,,,,,,
HIST 385,,,,1,,,,,1,,,,,,,,,,,,,,,
HIST 386,3,,,1,,,,1,,,,,,,,,,,,,,,1,
HIST 387,,,,1,,,,,1,,,,,,,,,,,,,,,
HIST 388,3,1,,1,,,1,1,1,,,,,,,,,,,,,,,
HIST 389,3,,,1,,1,,,1,,,,1,,,,1,,,1,1,,,
HIST 394,,,,1,,,1,,,,,,,,,,,,,,,,,
HIST 395,3,1,,1,,,,1,,,,,,,,,,,,,,,,
HIST 396,3,,,1,,,1,1,1,,,,,,,,,,,,,,,
HIST 397,3,,,1,,,,1,,,,,,,,,,,,,,,,
HIST 398,3,,,1,,,,1,,,,,,,,,,,,,1,,,1
HIST 400,3,,,1,1,,,,,,,,,,,,,,,,,,,
HIST 403,3,,,1,1,,,1,,,,,,,,,,,,,,,,
HIST 404,3,,,1,1,,,1,,,,,,,,,,,,,,,,
HIST 405,3,,,1,1,,1,,1,1,,,,,,,,,,,,,,
HIST 406,,,,1,1,1,1,,1,1,,,,,,,,,,,,,,
HIST 408,,,,1,1,,,,1,1,,,,,,,,,,,,,,
HIST 409,3,,,1,1,,,,,,,1,,,,,,,,,,,,
HIST 411,3,,,1,1,,,,,,,,,,,,,,,,,,,
HIST 412,,,,1,1,,1,1,1,1,,1,,,,,,,,,,1,,
HIST 415,3,,,1,1,,1,,,1,,,,,,,,,,,,,,
HIST 416,3,,,1,1,,,1,,1,,,,,,,,,,,,,,
HIST 417,3,,,1,1,,,1,,1,,,,,,,,,,,,,,
HIST 418,3,,,1,1,,,1,1,1,,,,,,,,,,,,,,
HIST 419,3,,,1,1,,,,,,,,,,,,,,,,,,,
HIST 421,3,,,1,1,,,1,,1,,,,,,,,,,,1,,,
HIST 422,3,,,1,1,,,1,,1,,,,,,,,,,,,,,
HIST 423,3,,,1,1,,,1,,1,,,,,,,,,,,,1,,
HIST 424,3,,,1,1,,1,,1,,,,,,,,1,,,,,,,
HIST 425,3,,,1,1,,,1,,1,,,,,,,,,,,,,,
HIST 426,3,,,1,1,,,1,1,1,,,,,,,,,,,,,,
HIST 427,3,,,1,1,,,1,,1,,,,,,,,,,,1,,,
HIST 428,3,,,1,1,,1,1,1,1,,,,,,,,,,,,,,
HIST 429,3,,,1,1,,,,1,1,,,,,,,,,,,,,,
HIST 431,3,1,,1,1,,1,,,1,,,,,,,,,,,,,,
HIST 432,,,,1,1,,,,1,1,,,,,,,,,,,,,,
HIST 433,3,,,1,1,,,,1,1,,,,,,,1,,,,,,,
HIST 434,3,,,1,1,1,1,,1,1,,,,,,,1,,,,,,,
HIST 435,3,,,1,1,,,,1,1,,,,,,,1,,,,,,,
HIST 436,3,,,1,1,,,1,1,1,,,,,,,1,,,,,,,
HIST 438,,,,1,1,,,,1,1,,,,,,,,,,,,,,
HIST 439,3,,,1,1,1,1,,1,1,,,1,,,,1,,,,,,,
HIST 441,3,,,1,1,,,,,,,,,,,,,,,,,,,
HIST 443,3,,,1,1,,1,,,1,,,,,,,,,,,,,,
HIST 448,3,,,1,1,,1,,,,,,,,,,,,,,,1,,
HIST 450,,,,1,1,,,,,1,,,,,,,,,,,,,,
HIST 452,,,,1,1,,,,,,,,1,,,,,,,,,,,
HIST 454,3,,,1,1,1,,,1,1,,,1,,,,,,,,,,,
HIST 455,3,,,1,1,,1,1,1,1,,,,,,,,1,,,,1,,
HIST 457,3,,,1,1,,1,1,1,1,,,,,,,,,,,,,,
HIST 458,3,,,1,1,,,,,,,,,,,,,,,,,,,
HIST 459,3,,,1,1,,1,,,1,,,,,,,,,,,,1,,
HIST 460,3,,,1,1,1,,,,1,,,,,,,,,,,,,,
HIST 461,3,,,1,1,,1,1,1,1,,,,,,,,,,,,,,
HIST 462,3,,,1,1,,1,,,,,,,,,,,,,,,,,
HIST 464,3,,,1,1,1,,1,1,1,,,,,,,,,,,,,,
HIST 465,3,,,1,1,,,1,,1,,,,,,,,,,,,,,
HIST 471,3,,,1,1,,1,,,1,,,,,,,,,,,,,,
HIST 472,3,,,1,1,,,,1,1,,,,,,,1,,,,,,,
HIST 473,3,,,1,1,,1,,,1,,,,,,,,,,,,,,
HIST 474,3,,,1,1,,1,,,1,,,,,,,,,,,,,,
HIST 475,3,,,1,1,,1,,,1,,,,,,,,,,,,,,
HIST 478,3,,,1,1,,,,1,1,,,,,,,,,,1,,,,
HIST 479,3,,,1,1,,,,1,1,,,,,,,,,,,,,,
HIST 480,3,,,1,1,,,,,,,,,,,,,,,,,,,
HIST 481,3,,,1,1,,,,,,,,,,,,,,,,,,,
HIST 482,3,,,1,1,,,,1,1,,,,,,,,,,,,,,
HIST 484,,,,1,1,,,1,,1,,,,,,,,,,,,,,
HIST 486,3,,,1,1,,,1,,1,,,,,,,,,,,,,,
HIST 487,,,,1,1,,,1,,1,,,,,,,,,,,,,,
HIST 490,3,,,1,1,,,,1,,,,,,,,1,,,,,,,
HIST 491,3,,,1,1,,,,,,,,,,,,,,,,,,,
HIST 492,3,,,1,1,,,,1,1,,,,,,,1,,,,,,,
HIST 493,,,,1,1,,,,1,1,,,,,,,1,,,,,,,
HIST 494,3,,,1,1,,,,1,1,,,,,,,1,,,,,,,
HIST 495,3,,,1,1,,,,1,,,,,,,,1,,,,,,,
HIST 496,3,,,1,1,,,,,,,,,,,,,,,,,,,
HIST 498,3,,,1,1,,,1,1,1,,,,,,,,,,,,,,
HIST 597,,,,1,1,,,,,,,1,,,,,,,,,,1,,
